"rn","title","pid","description","playlistart"
1,"COMPLETE","2QAS5OUg15FUYFp4lCeuCS","All 900 songs mentioned in a Wildmoore fanfic (songs for all playlists are in order of date mentioned)","https://www.dropbox.com/scl/fi/2gqrwsswbcqyc83zo8ddm/complete.png?rlkey=t7hxsg2hdpj5u9pv6r73273g9&raw=1"
2,"90s/Early 2000s R&B","2DuVHIuR4sBxqxiE1JVDkf","All the 1990 - 2005 R&B songs mentioned in a Wildmoore story","https://www.dropbox.com/scl/fi/taliphjunddu9eebsfhk8/90srb.png?rlkey=9glocex76x17abtc3islopluf&raw=1"
3,"R&B","6BBUcPHeuCJ1TLDeqNdB26","All the R&B songs mentioned in a Wildmoore story","https://www.dropbox.com/scl/fi/le0ogr0qrn8n4cuqchlsw/rb.png?rlkey=15ozbbv003jpv5at3x9zwoneo&raw=1"
4,"POP","5dIeU5IeilJ4sujzRxXsQR","All the Pop songs mentioned","https://www.dropbox.com/scl/fi/dg74jdpvaex3jz0q4ymnz/pop.png?rlkey=9s04thsibc963dc1yz13camcu&raw=1"
5,"HIP HOP/RAP","5rU2yV41a3z4PZnPxEkCpr","All the Hip Hop/Rap songs mentioned","https://www.dropbox.com/scl/fi/u1gvz2q6abrncq72mwnom/hiphop.png?rlkey=otpmof6id5jwbnl1hudf4nr79&raw=1"
6,"ROCK","3SzWqMyjzA5hLhrI58SI5k","All the rock, alt-rock, and pop rock songs mentioned","https://www.dropbox.com/scl/fi/xetd0iskbkpb5m6l1e0v8/rock.png?rlkey=p703k5vblceltk00numy9zj9k&raw=1"
7,"SOUL","5YwBbyOixOlZDEBq06iXbo","Anita Baker, The Temptations and more. Here are all the soul songs","https://www.dropbox.com/scl/fi/hgca4e0fj50u2cy9voizi/soul.png?rlkey=gbol9hor1dkppiuepjq8cbfx4&raw=1"
8,"WEDDING","5VrxhRzKEKvmVJcgzs7YWC","Songs mentioned during proposals, weddings, first dances and receptions","https://www.dropbox.com/scl/fi/2t1pogjblhieaa74skq0q/wedding.png?rlkey=xannwfgvg1wpgwwk4jjagmzoi&raw=1"
9,"CAR RIDE","4JkMcax8mGEPlG2zYI5faJ","All the songs that played during a car ride in a Wildmoore fanfic","https://www.dropbox.com/scl/fi/fo7l9z06ocntkt7636wb0/carride.png?rlkey=xgyq97e5ctxhbqkzkhibk21ra&raw=1"
10,"CLUB/BAR","78QJVZljt6Riqht1kvR1Vr","All the songs that played in a club or bar scene","https://www.dropbox.com/scl/fi/k9jfnkn0uftjh0f7gzd42/bar.png?rlkey=qo18qospbliyzk94951cueiia&raw=1"
11,"MOOD MUSIC","5AYG7lbvgOP6hzJZbvIl82","All the songs that played during spicy/sexy scenes","https://www.dropbox.com/scl/fi/tfcr2xwo0kseya53nijge/moodmusic.png?rlkey=pxaqfiynqjt8ky7cqc2eg9i8e&raw=1"
12,"COMPLETE (minimalistic_flag)","2AeOlPuYGrXk4haiitLloR","All 900 songs mentioned in a Wildmoore fanfic (in order of date mentioned) - cover 2","https://www.dropbox.com/scl/fi/f7f63ehqg5o3y2gzlmexw/complete-2.png?rlkey=53qg22zfilcf8u82l3rt671ix&raw=1"
13,"90s/Early 2000s R&B (minimalistic_flag)","1RYpybfPzshlhMbeEZQ9PR","All the 1990 - 2005 R&B songs mentioned - cover 2","https://www.dropbox.com/scl/fi/8awygs3gwj1ubxgvgnutr/90rb-3.png?rlkey=8uy6etwrao6fdva4mvk4u7fcg&raw=1"
14,"R&B (minimalistic_flag)","3Qbn2s9b3pbYLwANOqsFDv","All the R&B songs mentioned - cover 2","https://www.dropbox.com/scl/fi/klpmy72z35if3klowik7b/rb-3.png?rlkey=s6p7q1tadescw7oaueox0wwel&raw=1"
15,"POP (minimalistic_flag)","0HAebgWyRK1pK9ji2DOrpd","All the Pop songs mentioned - cover 2","https://www.dropbox.com/scl/fi/htxler86jb416498qz3gf/pop-3.png?rlkey=7whpquosepx15dldo7tz7rv6l&raw=1"
16,"HIP HOP/RAP (minimalistic_flag)","157Cnyq6nf70UsGn0aGwUS","All the Hip Hop/Rap songs mentioned - cover 2","https://www.dropbox.com/scl/fi/3unt4ggzgazb2pvbl57hh/hiphop-3.png?rlkey=22h7iyk9ixxcakbxjlk9job8q&raw=1"
17,"ROCK (minimalistic_flag)","4kXwIR0xeCX0l1WRNkhGWs","All the rock, alt-rock, and pop rock songs mentioned - cover 2","https://www.dropbox.com/scl/fi/7nefdzj8cf407ckub5dqn/rock-3.png?rlkey=7xkwmib66xm5gjg739m0n3z0d&raw=1"
18,"SOUL (minimalistic_flag)","3UXR86Zzj8xFy32JGIHnbS","Anita Baker, The Temptations and more. Here are all the soul songs - cover 2","https://www.dropbox.com/scl/fi/84vsyuox5idbd54ejdo2m/soul-3.png?rlkey=e30nzcapntekhc5v8eye4fsii&raw=1"
19,"WEDDING (minimalistic_flag)","5h2h2Ru1d1FBS1mdtjQMGX","Songs mentioned during proposals, weddings, first dances and receptions - cover 2","https://www.dropbox.com/scl/fi/0vykm654kibk2u9jdztst/wed-3.png?rlkey=0iq3iwgvno9l79mrfepmdbd0v&raw=1"
20,"CAR RIDE (minimalistic_flag)","0omHuZfYOqTh5P9mQFZLU7","All the songs that played during a car ride in a Wildmoore fanfic - cover 2","https://www.dropbox.com/scl/fi/a1ek7q3m2rlryvunhyd12/carride-3.png?rlkey=6gsufzxxqq6nmiw8o25vtlljc&raw=1"
21,"CLUB/BAR (minimalistic_flag)","3ODmj1NkLTgmLzNXx0jEQX","All the songs that played in a club or bar scene - cover 2","https://www.dropbox.com/scl/fi/f8s7ox2r3pnte0liu2eq3/club-3.png?rlkey=yh8j5ruhb9y8k4ko2fdf45aph&raw=1"
22,"MOOD MUSIC (minimalistic_flag)","6oxxxa5gE3xcMBEYPQyOgf","All the songs that played during spicy/sexy scenes - cover 2","https://www.dropbox.com/scl/fi/wt5c8fs3b9prcqj76n5yy/moodmusic-3.png?rlkey=7v7tfbguxavwt7codb2f1gnm3&raw=1"
